Area	Species	Marker	Analysis method	Code
Akvatisk	Elvemusling	Elvemusling A	STR	E
Akvatisk	Elvemusling	Elvemusling B	STR	E
MiljøDNA	MiljøDNA	Elvemusling	qPCR	M
MiljøDNA	MiljøDNA	Havnespy	qPCR	M
MiljøDNA	MiljøDNA	Vasspest	qPCR	M
MiljøDNA	MiljøDNA	Edelkreps	qPCR	M
MiljøDNA	MiljøDNA	Signalkreps	qPCR	M
MiljøDNA	MiljøDNA	Buttsnutefrosk	qPCR	M
Akvatisk	Spissnutefrosk	Spissnutefrosk A	STR	SFR
MiljøDNA	MiljøDNA	Spissnutefrosk	qPCR	M
MiljøDNA	MiljøDNA	Damfrosk	qPCR	M
MiljøDNA	MiljøDNA	Padde	qPCR	M
Akvatisk	Småsalamander	Salamander 1	STR	SSM
Akvatisk	Småsalamander	Salamander 2	STR	SSM
Akvatisk	Småsalamander	Salamander 3	STR	SSM
MiljøDNA	MiljøDNA	Småsalamander	ddPCR	M
Akvatisk	Storsalamander	Salamander 1	STR	SST
Akvatisk	Storsalamander	Salamander 2	STR	SST
Akvatisk	Storsalamander	Salamander 3	STR	SST
MiljøDNA	MiljøDNA	Storsalamander	ddPCR	M
MiljøDNA	MiljøDNA	BD (Batrachochytrium dendrobatidis)	qPCR	M
MiljøDNA	MiljøDNA	B.sal (Batrachochytrium salamandrivorans)	qPCR	M
MiljøDNA	MiljøDNA	Gyro (Gyrodactylus salaris)	qPCR	M
MiljøDNA	MiljøDNA	Gyro (Gyrodactylus derjavinoides)	qPCR	M
MiljøDNA	MiljøDNA	Lakselus	ddPCR	M
MiljøDNA	MiljøDNA	Nematoder	qPCR	M
MiljøDNA	MiljøDNA	Skottelus	ddPCR	M
Fugl	Alke	Kjønnstest	STR	AKE
Fugl	Alkekonge	Kjønnstest	STR	AKK
Fugl	Antarktispetrell	Kjønnstest	STR	APT
Fugl	Dverggås	Kjønnstest	STR	DVG
Fugl	Fiskeørn	Kjønnstest	STR	FOR
Fugl	Fjelljo	Kjønnstest	STR	FJJ
Fugl	Fjellrype	Rype 1 (inkl. kjønn)	STR	FJR
Fugl	Fjellrype	Rype2 (inkl. kjønn)	STR	FJR
Fugl	Grågås	Kjønnstest	STR	GRG
Fugl	Havhest	Kjønnstest	STR	HVH
Fugl	Havsvale	Kjønnstest	STR	HVS
Fugl	Havørn	Kjønnstest	STR	HVO
Fugl	Hubro	Hubro 1 (inkl. kjønn)	STR	HBR
Fugl	Hubro	Hubro 2 (inkl. kjønn)	STR	HBR
Fugl	Hubro	Hubro 3 (inkl. kjønn)	STR	HBR
Fugl	Hønsehauk	Kjønnstest	STR	HHK
Fugl	Ismåke	Kjønnstest	STR	ISM
Fugl	Kattugle	Kjønnstest	STR	KTU
Fugl	Kjøttmeis	Kjønnstest	STR	KJM
Fugl	Kjøttmeis	Kjøttmeis 1 (inkl. kjønn)	STR	KJM
Fugl	Kongeørn	Kongeørn assay	SNP	KOR
Fugl	Kongeørn	Kongeørn 1 (inkl. kjønn)	STR	KOR
Fugl	Kongeørn	Kongeørn  2 (inkl. kjønn)	STR	KOR
Fugl	Kongeørn	Kjønnstest	STR	KOR
Fugl	Kortnebbgås	Kjønnstest	STR	KNG
Fugl	Krykkje	Kjønnstest	STR	KKJ
Fugl	Lappmeis	Lappmeis A	STR	LPM
Fugl	Lappmeis	Lappmeis B (inkl. kjønn)	STR	LPM
Fugl	Lirype	Rype 1 (inkl. kjønn)	STR	LRP
Fugl	Lirype	Rype2 (inkl. kjønn)	STR	LRP
Fugl	Lomvi	Kjønnstest	STR	LMV
Fugl	Lunde	Kjønnstest	STR	LND
Fugl	Orrfugl	Kjønnstest	STR	ORF
Fugl	Polarlomvi	Kjønnstest	STR	PMV
Fugl	Polarmåke	Kjønnstest	STR	PMK
Fugl	Snøugle	Kjønnstest	STR	SNU
Fugl	Storfugl	Kjønnstest	STR	STF
Fugl	Storjo	Kjønnstest	STR	STJ
Fugl	Storskarv	Kjønnstest	STR	STS
Fugl	Svartmeis	Kjønnstest	STR	SVM
Fugl	Sædgås	Kjønnstest	STR	SDG
Fugl	Sædgås	Sædgås 1 (inkl. kjønn)	STR	SDG
Fugl	Sædgås	Sædgås 2 (inkl. kjønn)	STR	SDG
Fugl	Teist	Kjønnstest	STR	TST
Fugl	Toppskarv	Kjønnstest	STR	TSK
Fugl	Tundragås	Kjønnstest	STR	TGO
Fugl	Tyvjo	Kjønnstest	STR	TYV
Fugl	Ærfugl	Kjønnstest	STR	AER
Terrestrisk	Elg	Elg assay	SNP	EL
Terrestrisk	Hjort	Hjort assay	SNP	HJR
MiljøDNA	MiljøDNA	Rein	ddPCR	M
Terrestrisk	Dragehode	Dragehode assay	SNP	DHG
Terrestrisk	Moser (Sphagnum)	Torvmose 1	STR	MSR
Terrestrisk	Moser (Sphagnum)	Torvmose 2	STR	MSR
Terrestrisk	Moser (Sphagnum)	Torvmose 3	STR	MSR
Terrestrisk	Moser (Sphagnum)	Torvmose 4	STR	MSR
Terrestrisk	Brunbjørn	Brunbjørn A (inkl. kjønn)	STR	BBJ
Terrestrisk	Brunbjørn	Brunbjørn B (inkl. kjønn)	STR	BBJ
Terrestrisk	Brunbjørn	Brunbjørn C (inkl. kjønn)	STR	BBJ
Terrestrisk	Brunbjørn	Brunbjørn Y (inkl. kjønn)	STR	BBJ
Terrestrisk	Brunbjørn	Brunbjørn assay 1	SNP	BBJ
Terrestrisk	Brunbjørn	Brunbjørn assay 2	SNP	BBJ
Terrestrisk	Brunbjørn	Brunbjørn Artstest	qPCR	BBJ
Terrestrisk	Fjellrev	Fjellrev A	STR	FRV
Terrestrisk	Fjellrev	Fjellrev B	STR	FRV
Terrestrisk	Fjellrev	Rovdyr art/kjønn	STR	FRV
Terrestrisk	Fjellrev	Fjellrev assay	SNP	FRV
Terrestrisk	Gaupe	Gaupe kjønnstest	STR	GUP
Terrestrisk	Gaupe	Gaupe assay	SNP	GUP
Terrestrisk	Gullsjakal	Gullsjakal A	STR	GSJ
Terrestrisk	Gullsjakal	Gullsjakal B	STR	GSJ
Terrestrisk	Gullsjakal	Rovdyr art/kjønn	STR	GSJ
Terrestrisk	Jerv	Jerv A (inkl. kjønn)	STR	J
Terrestrisk	Jerv	Jerv B (inkl. kjønn)	STR	J
Terrestrisk	Jerv	Jerv C (inkl. kjønn)	STR	J
Terrestrisk	Jerv	Rovdyr art/kjønn	STR	J
Terrestrisk	Jerv	Jerv assay 1	SNP	J
Terrestrisk	Jerv	Jerv assay 2	SNP	J
MiljøDNA	MiljøDNA	Mink	qPCR	M
Terrestrisk	Oter	Oter A	STR	OTE
Terrestrisk	Oter	Oter B	STR	OTE
Terrestrisk	Oter	Art, kjønn	qPCR	OTE
Terrestrisk	Rødrev	Rødrev assay	SNP	RRV
